Date,Molecular Total,Molecular New,Molecular Positive New,Antigen Positive New,Antigen New,Antigen Total,All Antigen Tests ,All Positive Antigen Tests,First Molecular Test per person,Repeat Molecular Tests,All Molecular Tests,All Positive Molecular Tests,All Molecular Tests_Higher Ed ONLY,All Positive Molecular Tests_Higher Ed ONLY,All Molecular Tests_MA without Higher ED,All Positive Molecular Tests_MA without Higher ED,7-day weighted average positive test rate all molecular tests in MA,7-day weighted average positive test rate all molecular tests_Higher Ed ONLY,7-day weighted average positive test rate all molecular tests_MA without Higher ED,7-day average All Molecular Tests,7-day average daily molecular tests_MA without Higher ED,7-day average daily molecular tests_Higher ED ONLY,7-day average daily POSITIVE molecular tests_MA without Higher ED,7-day average daily POSITIVE molecular tests_Higher ED ONLY
1/22/2020,1,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,
1/23/2020,2,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,
1/24/2020,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1/25/2020,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1/26/2020,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1/27/2020,3,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,
1/28/2020,4,1,0,0,0,0,0,0,1,0,1,0,,,,,0,,,0.5714285714,,,,
1/29/2020,5,1,1,0,0,0,0,0,1,0,1,1,,,,,0.25,,,0.5714285714,,,,
1/30/2020,5,0,0,0,0,0,0,0,0,0,0,0,,,,,0.3333333333,,,0.4285714286,,,,
1/31/2020,5,0,0,0,0,0,0,0,0,0,0,0,,,,,0.3333333333,,,0.4285714286,,,,
2/1/2020,5,0,0,0,0,0,0,0,0,0,0,0,,,,,0.3333333333,,,0.4285714286,,,,
2/2/2020,5,0,0,0,0,0,0,0,0,0,0,0,,,,,0.3333333333,,,0.4285714286,,,,
2/3/2020,8,3,0,0,0,0,0,0,3,0,3,0,,,,,0.2,,,0.7142857143,,,,
2/4/2020,11,3,0,0,0,0,0,0,3,0,3,0,,,,,0.1428571429,,,1,,,,
2/5/2020,11,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0.8571428571,,,,
2/6/2020,12,1,1,0,0,0,0,0,1,0,1,1,,,,,0.1428571429,,,1,,,,
2/7/2020,12,0,0,0,0,0,0,0,0,0,0,0,,,,,0.1428571429,,,1,,,,
2/8/2020,13,1,0,0,0,0,0,0,1,0,1,0,,,,,0.125,,,1.142857143,,,,
2/9/2020,13,0,0,0,0,0,0,0,0,0,0,0,,,,,0.125,,,1.142857143,,,,
